может мо́‧жет
контролем кон‧тро́ль
компенсировать ком‧пен‧си́‧ро‧вать
коммуникаций ком‧му‧ни‧ка́‧ци·я
кольца ко́ль‧ца
кабинета ка‧би‧не́т
итог и·то́г
интересные ин‧те‧ре́с‧ный
изучению и·зу‧че́‧ни<span class="hyph-dot" style="color:red;">·</span>е
издание из‧да́‧ни·е
известным из‧ве́ст‧ный
игроки иг‧ро́к
знаменитого зна‧ме‧ни́‧тый
звучит зву‧ча́ть
звонок зво‧но́к
запрос за‧про́с
заведений за‧ве‧де́‧ни·е
железных же‧ле́з‧ный
естественного ес‧те́с‧твен‧ный
еды е·ды́
дыхания ды‧ха́‧ни·е
древних дре́в‧ний
достоинства до‧сто́‧ин‧ство
достигли до‧сти́чь
добычу до‧бы́‧ча
длиной дли‧на́
дефицита де‧фи‧ци́т
деталь де‧та́ль
десятилетие де‧ся‧ти‧ле́‧ти·е
дерево де́‧ре‧во
дерева де́‧ре‧во
демонстрационный де‧мон‧стра‧ци‧о́н‧ный
деда де́‧да
губернатора гу‧бер‧на́‧тор
государственную го‧су‧да́р‧ствен‧ный
гостиницы гос‧ти́‧ни‧ца
городских го‧род‧ско́й
городские го‧род‧ско́й
голосом го́‧лос
голова го‧ло‧ва́
главную гла́‧вный
гарантий га‧ра́н‧ти·я
выявить вы́‧я·вить
выступление вы‧ступ‧ле́‧ни·е
временного вре́‧мен‧ный
вопросами во‧про́с
возможны воз‧мо́ж‧ный
внешние вне́ш‧ний
внести внес‧ти́
вирус ви́‧рус
вернется вер‧ну́ть‧ся
быстрого бы́ст‧рый
буквы бу́к‧ва
будущий бу́‧ду‧щий
больнице боль‧ни́‧ца
боится бо‧я́ть‧ся
богатых бо‧га́‧тый
богатства бо‧га́т‧ство
благо бла́‧го
беседы бе‧се́‧да
бензин бен‧зи́н
белые бе́‧лый
аэропорт а·э‧ро‧по́рт
английский ан‧гли́й‧ский
активных ак‧ти́в‧ный
авторитет ав‧то‧ри‧те́т
яйца яй‧цо́
эпоха э·по́‧ха
энергией э·не́р‧ги<span class="hyph-dot" style="color:red;">·</span>я
электронной э·лек‧тро́н‧ный
шума шу́‧ма
школьного шко́ль‧ный
широкого ши‧ро́‧кий
чудом чу́‧дом
черта чер‧та́
частный ча́ст‧ный
ценам це‧на́
целое це́‧ло·е
хороших хо‧ро́‧ший
холод хо́‧лод
ходил хо‧ди́ть
французского фран‧цу́з‧ский
финансовую фи‧на́н‧со‧вый
физик фи́‧зик
фамилия фа‧ми́‧ли·я
учреждениях у·чреж‧де́‧ни<span class="hyph-dot" style="color:red;">·</span>е
участвует у·ча́ст‧во‧вать
уход у·хо́д
ухо у́·хо
услышать у·слы́‧шать
услышал у·слы́‧шать
улицам у́·ли‧ца
удивляться у·див‧ля́ть‧ся
уголовного у·го‧ло́в‧ный
убрать у·бра́ть
требованиям тре́‧бо‧ва‧ни·е
точность то́ч‧ность
торговые тор‧го́‧вый
терять те‧ря́ть
террористической тер‧ро‧рис‧ти́‧чес‧кий
талантливых та‧ла́нт‧ли‧вый
тайны та́й‧на
сыграть сыг‧ра́ть
существовали су‧щест‧во‧ва́ть
существовала су‧щест‧во‧ва́ть
стремиться стре‧ми́ть‧ся
стратегию стра‧те́‧ги·я
столкновения столк‧но‧ве́‧ни·е
стенки сте́н‧ка
старшего ста́р‧ший
сохранились со‧хра‧ни́ть‧ся
состоялся со‧сто‧я́ть‧ся
составляли со‧став‧ля́ть
соответствующее со‧от‧ве́тст‧ву·ю‧щий
соответствие со‧от‧ве́тст‧ви·е
сокращении со‧кра‧ще́‧ни·е
сократился со‧кра‧ти́ть‧ся
согласились со‧гла‧си́ть‧ся
современное со‧вре‧ме́н‧ный
собственным со́б‧ствен‧ный
сильное си́ль‧ный
сидели си‧де́ть
сделает сде́‧лать
русскому ру́с‧ский
рубеж ру‧бе́ж
робот ро́‧бот
религиозные ре‧ли‧ги‧о́з‧ный
редактор ре‧да́к‧тор
расследование рас‧сле́‧до‧ва‧ни·е
распоряжение рас‧по‧ря‧же́‧ни·е
районов рай‧о́н
разрешения раз‧ре‧ше́‧ни·е
разработкой раз‧ра‧бо́т‧ка
разговаривать раз‧го‧ва́‧ри‧вать
разведчик раз‧ве́д‧чик
радость ра́‧дость
прямые пря‧мы́·е
прочность про́ч‧ность
противоречия про‧ти‧во‧ре́‧чи·е
простая про‧сто́й
продолжали про‧дол‧жа́ть
продолжал про‧дол‧жа́ть
проверку про‧ве́р‧ка
признают при‧зна́‧ют
придумать при‧ду́‧мать
преобразования пре‧об‧ра‧зо‧ва́‧ни·е
премий пре́‧ми·я
прекрасный пре‧кра́с‧ный
предусматривает пред‧ус‧ма́т‧ри‧вать
представлял пред‧став‧ля́ть
праздник пра́зд‧ник
постоянной по‧сто‧я́н‧ный
поставки по‧ста́в‧ка
последствиям по‧сле́д‧стви·е
популярной по‧пу‧ля́р‧ный
поняла по‧ня́ть
помещении по‧ме‧ще́‧ни·е
получалось по‧лу‧ча́ть‧ся
полезно по‧ле́з‧но
покупку по‧ку́п‧ка
подразделения под‧раз‧де‧ле́‧ни·е
подобной по‧до́б‧ный
подать по́‧дать
погода по‧го́‧да
поворот по‧во‧ро́т
плоскости пло́с‧кость
плата пла́‧та
планерного пла́‧нер‧ный
питание пи‧та́‧ни·е
писателей пи‧са́‧тель
пиво пи́‧во
перечень пе́‧ре‧чень
партийного пар‧ти́й‧ный
пакет па‧ке́т
очевидным о·че‧ви́д‧ный
официального о·фи‧ци‧а́ль‧ный
отыскать от‧ыс‧ка́ть
отчет от‧чёт
отсутствии от‧су́т‧стви·е
отсутствием от‧су́т‧стви·е
отменить от‧ме‧ни́ть
открытым от‧кры́‧тый
открыли от‧кры́ть
отдел от‧де́л
океан о·ке‧а́н
означало оз‧на‧ча́ть
огромных ог‧ро́м‧ный
обычного о·бы́ч‧ный
обратить об‧ра‧ти́ть
обмена об‧ме́‧на
обеспечивать о·бес‧пе́‧чи‧вать
ненависти не́‧на‧висть
нашла най‧ти́
научное на‧у́ч‧ный
населением на‧се‧ле́‧ни·е
народные на‧ро́д‧ный
напомнил на‧по́м‧нить
надежда на‧де́ж‧да
мощным мо́щ‧ный
мотивации мо‧ти‧ва́‧ци·я
молоко мо‧ло‧ко́
молодого мо‧ло‧до́й
мероприятий ме‧ро‧при‧я́‧ти·е
международным меж‧ду‧на‧ро́д‧ный
лучшее лу́ч‧ший
личного ли́ч‧ный
легитимности ле‧ги‧ти́м‧ность
красных кра́с‧ный
красные кра́с‧ный
красивые кра‧си́‧вый
конкурс ко́н‧курс
конкретной кон‧кре́т‧ный
коммуникации ком‧му‧ни‧ка́‧ци·я
количеством ко‧ли́‧че‧ство
картинки кар‧ти́н‧ка
исследовании ис‧сле́‧до‧ва‧ни·е
испытывает ис‧пы́‧ты‧вать
инфраструктуры инф‧ра‧струк‧ту́‧ра
интересных ин‧те‧ре́с‧ный
индустрия ин‧дус‧три́·я
измерения из‧ме‧ре́‧ни·е
излучение из‧лу‧че́‧ни·е
зерна зер‧но́
звания зва́‧ни·е
зарубежные за‧ру‧бе́ж‧ный
занял за‧ня́ть
замминистра за̀м‧ми‧ни́с‧тра
законам за‧ко́н
заговорили за‧го‧во‧ри́ть
журналист жур‧на‧ли́ст
желательно же‧ла́‧тель‧но
естественный ес‧те́с‧твен‧ный
единая е·ди́‧ный
душа ду‧ша́
доступа до́с‧туп
доски дос‧ка́
дополнительный до‧пол‧ни́‧тель‧ный
дивизии ди‧ви́‧зи·я
держаться дер‧жа́ть‧ся
готовые го‧то́‧вый
городского го‧род‧ско́й
гонка го́н‧ка
выступить вы́‧сту‧пить
выросла вы́‧ра‧сти
выиграл вы́‧иг‧рать
выдавать вы‧да‧ва́ть
возвращается воз‧вра‧ща́ть‧ся
военное во‧е́н‧ный
военная во‧е́н‧ный
влиять вли‧я́ть
верно ве́р‧но
вводить вво‧ди́ть
ввел вво‧ди́ть
британского бри‧та́н‧ский
боя бо‧я
банке ба́н‧ка
ядро яд‧ро́
юга ю́·га
энергетического э·нер‧ге‧ти́‧чес‧кий
читателя чи‧та́‧тель
центральных цен‧тра́ль‧ный
целесообразно це‧ле‧со‧об‧ра́з‧но
хранение хра‧не́‧ни·е
функцию фу́нк‧ци·я
философии фи‧ло‧со́‧фи·я
федерация фе‧де‧ра́‧ци·я
ученик у·че‧ни́к
утверждению у·тверж‧де́‧ни<span class="hyph-dot" style="color:red;">·</span>е
умение у·ме́‧ни<span class="hyph-dot" style="color:red;">·</span>е
улучшения у·луч‧ше́‧ни<span class="hyph-dot" style="color:red;">·</span>е
узнав у·зна́ть
удобно у·до́б‧но
угол у́·гол
убить у·би́ть
убеждений у·беж‧де́‧ни<span class="hyph-dot" style="color:red;">·</span>е
тяжело тя‧же‧ло́
туристов ту‧ри́ст
требовалось тре́‧бо‧вать‧ся
требовали тре́‧бо‧вать
точных то́ч‧ный
товарищи то‧ва́‧рищ
тишина ти‧ши‧на́
технический тех‧ни́‧чес‧кий
территория тер‧ри‧то́‧ри·я
талант та‧ла́нт
считаем счи‧та́ть
существенные су‧ще́‧ствен‧ный
сухой су‧хо́й
строения стро‧е́‧ни·е
старались ста‧ра́ть‧ся
становился ста‧но‧ви́ть‧ся
становилось ста‧но‧ви́ть‧ся
стандартам стан‧да́рт
сталкиваются ста́л‧ки‧вать‧ся
ставке ста́в‧ка
способствовать спо‧со́б‧ство‧вать
спортивного спор‧ти́в‧ный
сохранение со‧хра‧не́‧ни·е
составляла со‧став‧ля́ть
сопротивления со‧про‧тив‧ле́‧ни·е
сопровождается со‧про‧вож‧да́ть‧ся
соли со‧ли́
созданный со́‧здан‧ный
собирался со‧би‧ра́‧ться
снимать сни‧ма́ть
снижать сни‧жа́ть
смотрели смот‧ре́ть
слышать слы́‧шать
славы сла́‧ва
слабости сла́‧бость
ситуаций си‧ту‧а́‧ци·я
сделан сде́‧лан‧ный
санкции са́нк‧ци·я
русским ру́с‧ский
роман ро‧ма́н
родилась ро‧ди́ть‧ся
реку ре‧ку
режиссер ре‧жи‧ссёр
рассмотреть рас‧смот‧ре́ть
рассказывали рас‧ска́‧зы‧вать
ранен ра́‧не‧нный
район рай‧о́н
разрешить раз‧ре‧ши́ть
разработок раз‧ра‧бо́т‧ка
разной ра́з‧ный
разделение раз‧де‧ле́‧ни·е
разговора раз‧го‧во́р
рабочая ра‧бо́‧чая
пятна пят‧но́
процедура про‧це‧ду́‧ра
прохождения про‧хож‧де́‧ни·е
происхождение про‧ис‧хож‧де́‧ни·е
продолжить про‧до́л‧жить
продолжаться про‧дол‧жа́ть‧ся
продвижение про‧дви‧же́‧ни·е
проводиться про‧во‧ди́ть‧ся
приговор при‧го‧во́р
привела при‧ве‧сти́
привезли при‧вез‧ти́
преодоление пре‧о·до‧ле́‧ни<span class="hyph-dot" style="color:red;">·</span>е
прежних пре́ж‧ний
представляли пред‧став‧ля́ть
предполагать пред‧по‧ла‧га́ть
предварительным пред‧ва‧ри́‧тель‧ный
превратилась пре‧вра‧ти́ть‧ся
правильные пра́‧виль‧ный
появлялись по‧яв‧ля́ть‧ся
поставок по‧ста́в‧ка
пособие по‧со́‧би·е
последствиями по‧сле́д‧стви·е
порядком по‧ряд‧ком
попытался по‧пы‧та́ть‧ся
полем по́‧лем
полагал по‧ла‧га́ть
пола по‧ла́
позволила по‧зво́‧лить
подробности по‧дро́б‧ность
подождать по‧до‧жда́ть
поддерживает под‧де́р‧жи‧вать
подал по́‧дать
побежал по‧бе‧жа́ть
планета пла‧не́‧та
планер пла́‧нер
переходить пе‧ре‧хо‧ди́ть
партнеров парт‧нёр
парламент пар‧ла́‧мент
очистки о·чи́ст‧ка
оппозиция оп‧по‧зи́‧ци·я
опасным о·па́с‧ный
опасения о·па‧се́‧ни<span class="hyph-dot" style="color:red;">·</span>е
окон ок‧но́
одежда о·де́ж‧да
огромным ог‧ро́м‧ный
обязанностей о·бя́‧зан‧ность
общественном об‧ще́ст‧вен‧ный
обсуждали об‧суж‧да́ть
обстановку об‧ста‧но́в‧ка
обращения об‧ра‧ще́‧ни·е
обратились об‧ра‧ти́ть‧ся
оборот о·бо‧ро́т
носить но‧си́ть
нефтяной неф‧тя‧но́й
необходимым не‧об‧хо‧ди́‧мый
независимых не‧за‧ви́‧си‧мый
независимость не‧за‧ви́‧си‧мость
недовольство не‧до‧во́ль‧ство
небольшим не‧боль‧шо́й
начинал на‧чи‧на́ть
начальство на‧ча́ль‧ство
напомнить на‧по́м‧нить
намерен на‧ме́‧рен
налогообложения на‧ло̀‧го‧об‧ло‧же́‧ни·е
мощные мо́щ‧ный
московский мос‧ко́в‧ский
министерств ми‧ни‧сте́р‧ство
местом ме́‧сто
медаль ме‧да́ль
массовом ма́с‧со‧вый
масла ма́с‧ла
максимальной мак‧си‧ма́ль‧ный
лишения ли‧ше́‧ни·е
личный ли́ч‧ный
лабораторий ла‧бо‧ра‧то́‧ри·я
культурные куль‧ту́р‧ный
крыла кры‧ло́
крикнул кри́к‧нуть
крепления креп‧ле́‧ни·е
кредитования кре‧ди‧то‧ва́‧ни·е
красная кра́с‧на·я
концепцию кон‧це́п‧ци‧я
конфликтов кон‧фли́кт
конструктор кон‧стру́к‧тор
командования ко‧ма́н‧до‧ва‧ни·е
количеству ко‧ли́‧че‧ство
ключевой клю‧че‧во́й
китайские ки‧та́й‧ский
квартир квар‧ти́р
категорию ка‧те‧го́‧ри‧я
использованию ис‧по́ль‧зо‧ва‧ни·е
использовались ис‧по́ль‧зо‧вать‧ся
игрушки иг‧ру́ш‧ка
значительную зна‧чи́‧тель‧ный
защита за‧щи́‧та
заседания за‧се‧да́‧ни·е
запрещено за‧пре‧ща́ть
заняла за‧ня́ть
занимал за‧ни‧ма́ть
заметили за‧ме́‧тить
законности за‧ко́н‧ность
живое жи‧во́й
желает же‧ла́ть
единственной е·ди́н‧ствен‧ный
европейским ев‧ро‧пе́й‧ский
душе <a href="https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D0%B6%D0%B4%D1%83%D0%BD%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D1%8B%D0%B9_%D1%84%D0%BE%D0%BD%D0%B5%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9_%D0%B0%D0%BB%D1%84%D0%B0%D0%B2%D0%B8%D1%82" class="extiw" title="w:Международный фонетический алфавит">?</a>
достигло до‧сти́чь
долей до́‧лей
делегация де‧ле‧га́‧ци·я
губернаторов гу‧бер‧на́‧тор
группировки груп‧пи‧ро́в‧ка
гражданам граж‧да‧ни́н
госпиталь го́с‧пи‧таль
горкома гор‧ко́м
главные гла́‧вный
главном гла́‧вный
выступали вы‧сту‧па́ть
вызывать вы‧зы‧ва́ть
выдачи вы́‧да‧ча
выбрали вы́‧брать
встретил встре́‧тить
вручил вру‧чи́ть
возможностью воз‧мо́ж‧ность
вложения вло‧же́‧ни·е
визитом ви‧зи́т
великое ве‧ли‧ко·е
ведомство ве́‧дом‧ство
быстрые бы́ст‧рый
бывал бы‧ва́ть
будут бу́‧дут
британской бри‧та́н‧ский
бремя бре́‧мя
больницу боль‧ни́‧ца
бойкот бой‧ко́т
ближайшем бли‧жа́й‧ший
бежали бе‧жа́ть
аппараты ап‧па‧ра́т
англичане ан‧гли‧ча́‧нин
альтернативного аль‧тер‧на‧ти́в‧ный
автономных ав‧то‧но́м‧ный
японцы я·по́‧нец
японский я·по́н‧ский
эпизод э·пи‧зо́д
электричества э·лект‧ри́‧че‧ство
школьники шко́ль‧ник
шахматной ша́х‧мат‧ный
художественной ху‧до́‧же‧ствен‧ный
хранить хра‧ни́ть
холодной хо‧ло́д‧ный
хозяина хо‧зя́‧ин
хозяин хо‧зя́‧ин
футбол фут‧бо́л
форума фо́‧рум
федеральном фе‧де‧ра́ль‧ный
федеральная фе‧де‧ра́ль‧ный
уши у́·хо
учредительного уч‧ре‧ди́‧тель‧ный
учебный у·че́б‧ный
уходить у·хо‧ди́ть
условиями ус‧ло́‧ви·е
ускорения ус‧ко‧ре́‧ни·е
усилиями у·си́‧ли<span class="hyph-dot" style="color:red;">·</span>е
уничтожить у·ни‧что́‧жить
университетах у·ни‧вер‧си‧те́т
умный у́м‧ный
увеличивать у·ве‧ли́‧чи‧вать
тяжести тя́‧жесть
тяжелых тя‧жё‧лый
точной то́ч‧ный
точке то́ч‧ка
тайна та́й‧на
судебная су‧де́б‧ный
странным стра́н‧ный
стоить сто́‧ить
стоимостью сто́‧и‧мость
старым ста́‧рый
ставок ста‧во́к
справиться спра́‧вить‧ся
спортивных спор‧ти́в‧ный
специальную спе‧ци‧а́ль‧ный
союзников со‧ю́з‧ник
сохранении со‧хра‧не́‧ни·е
сотрудничестве со‧тру́д‧ни‧чес‧тво
состоялись со‧сто‧я́ть‧ся
состоял со‧сто‧я́ть
составлял со‧став‧ля́ть
составила со‧ста́‧вить
сооружения со‧о‧ру‧же́‧ни·е
сомнение со‧мне́‧ни·е
солнца со́лн‧це
совещании со‧ве‧ща́‧ни·е
совершенствования со‧вер‧ше́н‧ство‧ва‧ни·е
собирались со‧би‧ра́‧ться
синдром син‧дро́м
символ си́м‧вол
сидя си́‧дя
сидеть си‧де́ть
сестры сест‧ра́
сделаем сде́‧лать
связанный свя́‧зан‧ный
сборки сбо́р‧ка
сбора сбо́‧ра
родину ро́‧ди‧ну
реставрации ре‧став‧ра́‧ци·я
редакцию ре‧да́к‧ци·я
революцию ре‧во‧лю́‧ци·я
ребенком ре‧бё‧нок
реагировать ре‧а‧ги́‧ро‧вать
рассказывать рас‧ска́‧зы‧вать
рассказывал рас‧ска́‧зы‧вать
рассказ рас‧ска́з
раненых ра́‧не‧ный
разнообразных раз‧но‧об‧ра́з‧ный
различной раз‧ли́ч‧ный
публичной пуб‧ли́ч‧ный
публикации пу‧бли‧ка́‧ци·я
птица пти́‧ца
проценты про‧це́нт
противостояния про‧ти‧во‧сто‧я́‧ни·е
происходить про‧ис‧хо‧ди́ть
производит про‧из‧во‧ди́ть
произведения про‧из‧ве‧де́‧ни·е
проводили про‧во‧ди́ть
признания при‧зна́‧ни·е
признался при‧зна́ть‧ся
пригласили при‧гла‧си́ть
привык при‧вы́к‧нуть
президентской пре‧зи‧де́нт‧ский
представлений пред‧став‧ле́‧ни·е
предлагали пред‧ла‧га́ть
превращения пре‧вра‧ще́‧ни·е
православной пра‧во‧сла́в‧ный
потратить по‧тра́‧тить
потепление по‧теп‧ле́‧ни·е
построение по‧стро‧е́‧ни·е
послание по‧сла́‧ни·е
посадки по‧са́д‧ка
попытке по‧пы́т‧ка
популярность по‧пу‧ля́р‧ность
понимании по‧ни‧ма́‧ни‧е
поменять по‧ме‧ня́ть
получило по‧лу‧чи́ть
положением по‧ло‧же́‧ни·е
полным по́л‧ный
полагать по‧ла‧га́ть
позвонил по‧зво‧ни́ть
поверить по‧ве́‧рить
писала пи‧са́ть
перешел пе‧рей‧ти́
переворот пе‧ре‧во‧ро́т
пары па́‧ры
оценка о·це́н‧ка
отряд от‧ря́д
отрасль о́т‧расль
отмечается от‧ме‧ча́ть‧ся
отличаться от‧ли‧ча́ть‧ся
открытой от‧кры́‧тый
отечественный о·те́‧че‧ствен‧ный
отбор от‧бо́р
основание ос‧но‧ва́‧ни·е
освобождение о·сво‧бож‧де́‧ни<span class="hyph-dot" style="color:red;">·</span>е
организациях ор‧га‧ни‧за́‧ци·я
оппоненты оп‧по‧не́нт
окружения ок‧ру‧же́‧ни·е
окнами ок‧но́
овощи о́·вощ
объединяет объ‧е‧ди‧ня́ть
общественный об‧ще́ст‧вен‧ный
обсуждается об‧суж‧да́ть‧ся
образовательного об‧ра‧зо‧ва́‧тель‧ный
нужным ну́ж‧ный
нравилось нра́‧вить‧ся
нормальный нор‧ма́ль‧ный
нормальная нор‧ма́ль‧ный
необходимого не‧об‧хо‧ди́‧мый
немногие не‧мно́‧гий
наций на́‧ци·я
находили на‧хо‧ди́ть
находилась на‧хо‧ди́ть‧ся
настоящим на‧сто‧я́‧щий
наследия на‧сле́‧ди·е
направлять на‧прав‧ля́ть
накопления на‧коп‧ле́‧ни·е
наблюдателей на‧блю‧да́‧тель
модернизацию мо‧дер‧ни‧за́‧ци·я
младший мла́д‧ший
миссия ми́с‧си·я
мировые ми‧ро‧во́й
мирного ми́р‧ный
металлургии ме‧тал‧лур‧ги́·я
местным ме́ст‧ный
медицина ме‧ди‧ци́‧на
материи ма‧те́‧ри·и
любопытно лю‧бо‧пы́‧тно
лишний ли́ш‧ний
лесной лес‧но́й
лежал ле‧жа́ть
левой ле́‧вый
лаборатория ла‧бо‧ра‧то́‧ри·я
кошка ко́ш‧ка
концентрации кон‧цен‧тра́‧ци·я
конкретный кон‧кре́т‧ный
коммунисты ком‧му‧ни́ст
комиссией ко‧ми́с‧си·я
клиенты кли‧е́нт
квалификация ква‧ли‧фи‧ка́‧ци·я
картинка кар‧ти́н‧ка
кампанию кам‧па́‧ни·я
камень ка́‧мень
использовался ис‧по́ль‧зо‧вать‧ся
интересам ин‧те‧ре́с
интеллигенции ин‧тел‧ли‧ге́н‧ци·я
интеллектуальный ин‧тел‧лек‧ту‧а́ль‧ный
интеллектуальной ин‧тел‧лек‧ту‧а́ль‧ный
индекс и́н‧декс
имеющий и·ме́‧ю‧щий
изданий из‧да́‧ни·е
изготовление из‧го‧тов‧ле́‧ни·е
извлечь из‧вле́чь
известными из‧ве́ст‧ный
значительное зна‧чи́‧тель‧ный
зеркало зе́р‧ка‧ло
здании зда́‧ни·е
запомнил за‧по́м‧нить
западной за́‧пад‧ный
занимать за‧ни‧ма́ть
заготовку за‧го‧то́в‧ка
заботы за‧бо́‧та
животное жи‧во́т‧но·е
жене же‧на́
желания же‧ла́‧ни·е
доказал до‧ка‧за́ть
довести до‧ве‧сти́
длину дли‧на́
длинной дли́н‧ный
данное да́н‧ный
давала да‧ва́ть
готовых го‧то́‧вый
государственным го‧су‧да́р‧ствен‧ный
господин гос‧по‧ди́н
голосовать го‧ло‧со‧ва́ть
глубину глу‧би‧на́
глобального гло‧ба́ль‧ный
высоком вы‧со́‧кий
выразить вы́‧ра‧зить
выполнение вы‧пол‧не́‧ни·е
всемирного все‧ми́р‧ный
временные вре́‧мен‧ный
временной вре‧мен‧но́й
вошел вой‧ти́
востоке во‧сто́к
воспоминания вос‧по‧ми‧на́‧ни·я
вооружений во‧о‧ру‧же́‧ни·е
военным во‧е́н‧ный
военный во‧е́н‧ный
внутреннее вну́т‧рен‧ний
владелец вла‧де́‧лец
виноваты ви‧но‧ва́‧тый
вине ви‧не́
видение ви́‧де‧ни·е
видела ви́‧де‧ла
верховный вер‧хо́в‧ный
величину ве‧ли‧чи‧на́
велись ве‧ли́сь
великим ве‧ли́‧кий
велик ве́‧лик
важная ва́ж‧ный
бутылку бу‧ты́л‧ка
благосостояния бла‧го‧со‧сто‧я́‧ни·е
белого бе́‧лый
археологи ар‧хе‧о́‧ло‧ги
активное ак‧ти́в‧ный
административного ад‧ми‧ни‧стра‧ти́в‧ный
аварии а·ва́‧ри<span class="hyph-dot" style="color:red;">·</span>я
языках я·зы́к
ядерной я́·дер‧ный
явлением яв‧ле́‧ни·е
электроэнергии э·лѐ‧ктро‧э<span class="hyph-dot" style="color:red;">·</span>не́р‧ги‧я
эвакуации э·ва‧ку‧а́‧ци<span class="hyph-dot" style="color:red;">·</span>я
шоу шо́·у
широкая ши‧ро́‧кий
человеческое че‧ло‧ве́‧чес‧ко·е
ценные це́н‧ный
целого це́‧лый
химия хи́‧ми·я
фундаментальных фун‧да‧мен‧та́ль‧ный
французы фран‧цу́з
фраза фра́‧за
фирма фи́р‧ма
федеральным фе‧де‧ра́ль‧ный
учился у·чи́ть‧ся
участник у·ча́ст‧ник
устроить у·стро́‧ить
устроили у·стро́‧ить
успешным ус‧пе́ш‧ный
усиление у·си‧ле́‧ни<span class="hyph-dot" style="color:red;">·</span>е
управляющий у·прав‧ля́<span class="hyph-dot" style="color:red;">·</span>ю‧щий
уменьшения у·мень‧ше́‧ни<span class="hyph-dot" style="color:red;">·</span>е
указывает у·ка́‧зы‧вать
указ у‧ка́з
узнали у·зна́ть
удивление у·див‧ле́‧ни<span class="hyph-dot" style="color:red;">·</span>е
транспортных тра́нс‧порт‧ный
традиций тра‧ди́‧ци·я
точное то́ч‧ный
температур тем‧пе‧ра‧ту́‧ра
текущего те‧ку́‧щий
театре те‧а́тр
сырье сырь·ё
сходство схо́д‧ство
сумели су‧ме́ть
стрелять стре‧ля́ть
стратегических стра‧те‧ги́‧чес‧кий
странные стра́н‧ный
страницы стра‧ни́‧ца
стоя сто́·я
столкновений столк‧но‧ве́‧ни·е
столицу сто‧ли́‧ца
статистики ста‧ти́с‧ти‧ки
статистике ста‧ти́с‧ти‧ке
старушка ста‧ру́ш‧ка
способный спо‧со́б‧ный
спектакль спек‧та́кль
союзных со‧ю́з‧ный
социальную со‧ци‧а́ль‧ный
сохранять со‧хра‧ня́ть
состоянием со‧сто‧я́‧ни·е
соседи со‧се́д
создала со‧зда́ть
совместных со‧вме́ст‧ный
совместной со‧вме́ст‧ный
совещание со‧ве‧ща́‧ни·е
совести со́‧весть
служб слу́ж‧ба
сильных си́ль‧ный
сильной си́ль‧ной
силовых си‧ло‧во́й
серьезная се‧рьёз‧ный
самостоятельной са‧мо‧сто·я́‧тель‧ный
рыба ры́‧ба
руководителем ру‧ко‧во‧ди́‧тель
росла рас‧ти́
решают ре‧ша́ть
республиках рес‧пу́б‧ли‧ка
регулировать ре‧гу‧ли́‧ро‧вать
регистрации ре‧ги‧стра́‧ци·я
регионального ре‧ги‧о‧на́ль‧ный
регион ре‧ги‧о́н
рассуждения рас‧суж‧де́‧ни·е
расследования рас‧сле́‧до‧ва‧ни·е
распространяется рас‧про‧стра‧ня́ть‧ся
расположенных рас‧по‧ло́‧жен‧ный
расположение рас‧по‧ло‧же́‧ни·е
ранения ра‧не́‧ни·е
разрабатывать раз‧ра‧ба́‧ты‧вать
разделения раз‧де‧ле́‧ни·е
пушки пу́ш‧ки
прохождение про‧хож‧де́‧ни·е
проходила про‧хо‧ди́ть
профессий про‧фе́с‧си·я
противостояние про‧ти‧во‧сто‧я́‧ни·е
противоречие про‧ти‧во‧ре́‧чи·е
противном про‧ти́в‧ный
произнес про‧из‧нес‧ти́
производственных про‧из‧во́д‧ствен‧ный
производить про‧из‧во‧ди́ть
продолжения про‧дол‧же́‧ни·е
программой про‧гра́м‧ма
программное про‧гра́мм‧ный
проанализировать про‧ана‧ли‧зи́‧ро‧вать
приходили при‧хо‧ди́ть
пресса пре́с‧са
препятствий пре‧пя́т‧стви·е
пребывание пре‧бы‧ва́‧ни·е
праву пра́‧во
правительственных пра‧ви́‧тель‧ствен‧ный
правильным пра́‧виль‧ный
правилами пра́‧ви‧ло
появляться по‧яв‧ля́ть‧ся
пострадали по‧стра‧да́ть
поста пос‧та́
портрет порт‧ре́т
понимаешь по‧ни‧ма́‧ешь
помогал по‧мо‧га́ть
показало по‧ка‧за́ть
пожарных по‧жа́р‧ный
подняться под‧ня́ть‧ся
поднялась под‧ня́ть‧ся
подниматься под‧ни‧ма́ть‧ся
подачи по‧да́‧ча
подарок по‧да́‧рок
повседневной по‧все‧дне́в‧ный
поведении по‧ве‧де́‧ни·е
победить по‧бе‧ди́ть
пива пи́‧ва
печени пе́‧чень
переработки пе‧ре‧ра‧бо́т‧ка
парадокс па‧ра‧до́кс
панно пан‧но́
пальто паль‧то́
отстаивать от‧ста́‧и‧вать
отрицать от‧ри‧ца́ть
относительности от‧но‧си́‧тель‧ность
отмена от‧ме́‧на
отечественного о·те́‧че‧ствен‧ный
отдельности от‧де́ль‧ность
отдельной от‧де́ль‧ный
ответили от‧ве́‧тить
оказывать о·ка́‧зы‧вать
